name,type,rating,price,address,zipCode,note,coordinates
ini ristorante,japanese,4.5,3,16129 brookhurst st,92708,japanese italian fusion,"33.72844700935692, -117.95512317594346"
springbok bar & grill,south african,4.5,2,16153 victory blvd,91406,,"34.18707767837341, -118.48572491977056"
nillys burgers,hamburger,4.9,1,17603 pioneer blvd,90701,,"33.87123473478507, -118.08290982990506"
zam zam foods,pakistani,4.2,1,13645/49 s inglewood ave,90250,,"33.908129745024794, -118.36164473360934"
nikis halal grill & karahi,pakistani,4.4,1,2031 e 1st st a3,92705,"karahi, also has indian food","33.74657150462479, -117.83784209103732"
johnnys pastrami,sandwich,4.3,2,4327 w adams blvd,90007,"pastrami reuben, johny fries, pastrami tacos","34.03297490525339, -118.3329802182607"
tacos virgina,mexican,4.3,1,4081 whittier blvd,90023,"menudo, birria de chivo","34.02419314647025, -118.1834926894249"
the independence,pub,4.3,2,205 broadway,90401,"coconut french toast, fried egg sandwich, endless mimosas, great bloodies","34.01395628078229, -118.49551767748335"
lucys restaurant & bakery,mexican,4.1,2,1330 w washington blvd,90007,,"34.039961648719284, -118.28495753175216"
sau can tho vietnamese kitchen,vietnamese,4.1,2,8450 garvey ave #103,91770,,"34.062570865134816, -118.08460243514422"
nates korner,deli,4.5,1,3960 s main st d,92707,,"33.69478995405597, -117.86869064686891"
jugos azteca,mexican,4.5,1,5213 york blvd,90042,chorizo breakfast burrito,"34.120867369048774, -118.2023203081472"
tendon tempura carlos jr,japanese,4.6,2,1510 cabrillo ave,90501,japanese peruvian food. tempura,"33.83359645633675, -118.31414014683664"
qt golden marketplace,food court,3.8,2,9772 garden grove blvd,92844,big baked fish,"33.77319835194322, -117.96185306404782"
chronis famous sandwich shop,fast food,4.6,2,5825 whittier blvd,90022,,"34.01819778734302, -118.14528854864629"
golden deli san gabriel,vietnamese,4.6,1,815 w las tunas dr,91776,egg rolls - cha gio,"34.102936558250065, -118.11172713328186"
saigon flavor,vietnamese,4.4,1,208 e valley blvd,91776,egg rolls - cha gio,"34.07984297010476, -118.09754110445118"
two douglas pizza co,pizza,4.8,2,28860 roadside dr,91301,,"34.14469799257187, -118.75422363512496"
gemmae bake shop,bakery,4.4,1,1356 w willow st,90810,bakery with great lumpia,"33.80425179045778, -118.2102205198601"
taberu,japanese,4.8,2,806 e 3rd st #140,90013,"japanese skewers, need reservations","34.04558983122324, -118.23593101980383"
ponchos tlayudas,mexican,4.6,1,4318 s main st,90037,,"34.005288503064484, -118.2737829793382"
brents deli northridge,deli,4.7,2,19565 parthenia st,91324,"black pastrami reuben, chicken matzo ball soup, cheese blitnzes and chopped liver, new pickles","34.229049273815086, -118.56039374674397"
fat + flour,bakery,3.9,1,317 s broadway,90013,,"34.050775454067086, -118.24868791980253"
all season brewing company,brewery,4.4,2,800 s la brea ave,90036,,"34.060425128177265, -118.34455003148021"
carniats los dos chingones,mexican,4.7,1,1365 s dacotah st,90023,"chilaquiles, breakfast burrito","34.02120024433012, -118.21216446032366"
friends and family,bakery,4.5,2,5150 hollywood blvd,90027,"bakery, breakfast and brunch, american food","34.10180220252458, -118.30236393147159"
lucky boy,fast food,4.5,1,640 s arroyo pkwy,91105,pastrami fries,"34.13479465242636, -118.14699154495858"
cold spring tavern,american,4.7,2,5995 stagecoach rd,93105,"tri tip sandwich, venison steak, rabbit chili, onion rings","34.52161685629814, -119.8405361025479"
el parian restaurant,mexican,4.4,1,1528 w pico blvd,90015,menudo,"34.044100573916715, -118.27580166213191"
el tepeyac cafe,mexican,4.5,2,812 n evergreen ave,90033,menudo,"34.04788053753062, -118.1975458332947"
qin wester noodle,chinese,4.2,1,727 n broadway #111,90012,"guilin soup, pig ears","34.061384338478106, -118.23948874863618"
tacos y birria la unica,mexican,4.7,1,2840 e olympic blvd,90023,goat birria,"34.022686264308426, -118.21662564864522"
echigo,sushi,4.6,2,12217 santa monica blvd ste 201,90025,omakase,"34.04019112167961, -118.46492981980504"
pearl river deli,chinese,4.4,1,925 me ling way,90012,"charsui, hot dog bun, doughnut","34.06529895717101, -118.23813614863518"
lamonicas ny pizza,pizza,4.6,1,1066 gayley ave,90024,ny style pizza,"34.0610174507909, -118.44683781980028"
attari sandwich shop,sandwich,4.2,1,1388 westwood blvd,90024,beef tongue sandwich. pair sandwitch with garlicky spinach lentil soup called osh. fri has braised lamb dish abgoosht,"34.05576825900417, -118.4415485486374"
phom penh noodle shack,cambodian,4.6,1,1644 cherry ave,90813,"breakfast soup, house special","33.788080072222584, -118.1674884045195"
los cinco puntos,mexican,4.6,1,3300 e cesar e chavez ave,90063,carnitas tacos,"34.040147579264996, -118.19294821980506"
cielito lindo,mexican,4.4,1,e 23 olvera st,90012,beef taquitos,"34.05812183180359, -118.23741094863708"
honeys kettle fried chicken,chicken,4.3,2,9537 culver blvd,90232,,"34.0233771708287, -118.39544696213675"
quan ngon nah trang restaurant,vietnamese,4.1,1,311 e valley blvd unit 103,91776,,"34.08045244140033, -118.09655313328733"
fish king,seafood,4.7,2,722 n glendale ave,91206,,"34.156904332405965, -118.24099116210546"
willie maes restaurant - venice,southern,4.3,2,324 lincoln blvd,90291,,"34.00123629377132, -118.46688860632254"
dong nae gil korean restaurant,korean,4.3,2,15116 s western ave,90249,korean soup,"33.894152138233274, -118.3087957063475"
banadir somali restaurant,somali,4.7,1,137 arbor vitae st,90301,only somali restaurant in la,"33.95291980084567, -118.35660124866148"
danny boys famous original pizza,pizza,4.8,1,330 s hope st suite 205,90071,,"34.05300153986417, -118.25252640631025"
chong qing special noodle,chinese,4.4,2,708 e las tunas dr,91776,sichuan,"34.103216463581965, -118.09173901979031"
kurrypinch,sri lankan,4.7,2,1937 ventura blvd,91356,sri lankan food,"34.17313165628624, -118.55518541792092"
mayura indian restaurant,indian,4.5,2,10406 venice blvd,90232,mayura utthapam - fermented rice pancake flatbread. use it to soak up fish curry,"34.020219938998515, -118.404167306318"
coni seafood,mexican,4.5,2,4532 s centinela ave,90066,aguachiles,"33.99261230726175, -118.42245969409188"
versailles cuban restaurant,cuban,4.4,2,1415 s la cienega blvd,90035,"cuban lemon chicken - sour orange, garlic, onions","34.05280618564684, -118.37641393640556"
el campeon taqueria,mexican,4.3,1,31921 camino capistrano #15,92675,,"33.49908375888082, -117.66352033283297"
