name,type,rating,price,address,zipCode,note,coordinates
prince street pizza,pizza,4.5,2,827 e 3rd st,90013,,"34.04618855066682, -118.23520463492292"
ji rong peking duck,chinese,4.2,2,8450 valley blvd,91770,,"34.08016746739685, -118.0850059711638"
com tam thuan kieu,vietnamese,3.8,1,8940 bolsa ave,92683,,"33.74372028795662, -117.973612455819"
n/soto,japanese,4.7,3,4566 w washington blvd,90016,,"34.039794244653805, -118.33956651534477"
cake monkey bakery,bakery,4.6,2,7807 bevelery blvd,90036,,"34.07641812899913, -118.35975049999999"
izola,bakery,4.8,2,710 13th st #300,92101,"voted best bakery in us, croissants","32.71296230186752, -117.1529488423276"
yuko kitchen dtla,japanese,4.6,1,101 w 5th st,90013,,"34.04713055905339, -118.248488155819"
sip boba lounge,bar,4.3,3,123 astronaut ellison s onizuka st #301,90012,alcoholic boba,"34.04997386868107, -118.24222225767238"
meet qin noodle,chinese,4.3,2,16 w main st,91801,,"34.094909381654155, -118.12713345767239"
ixtaco taqueria,mexican,4.5,1,10021 valley blvd,91731,,"34.07908772873558, -118.05196978465521"
bar moruna,spanish,4.3,2,3705 sunset blvd,90026,,"34.090900874112464, -118.27793074418098"
carnitas el momo,mexican,4.7,1,2411 fairmount st,90033,,"34.052157560143186, -118.2038907"
archies deli and mini mart,deli,4.6,2,11044 magnolia blvd,91601,,"34.164830885085344, -118.37201498465524"
whistlin dixie,chicken,4.8,2,1523 n la brea ave suite 207,90028,,"34.09900207413574, -118.34487459999998"
kermes taco grill,tacos,4.4,1,287 s atlantic blvd,90022,,"34.03282764273258, -118.15387728650857"
oc and lau restaurant,hot pot,4.3,2,10130 garden grove blvd,92843,,"33.77341056977582, -117.95609637116377"
saffys on fountain,middle eastern,4.6,3,4845 fountain ave,90029,,"34.095737133899476, -118.29519197116377"
angels tijuana tacos,tacos,4.6,1,4211 eagle rock blvd,90065,,"34.122324276667435, -118.2250145134914"
pija palace,bar,4.3,1,2711 sunset blvd,90026,modern indian fusion,"34.08124752063824, -118.27045670000001"
the rising sun,breakfast,4.4,2,1356 palmetto st #200,90013,,"34.04033405303531, -118.23100595767237"
aladdin coffee shop,buffet,4.8,1,1150 s hope st,90015,"american, mexican, and salvadoran buffet","34.04107798372432, -118.26419587301714"
rutts hawaiian cafe,hawaiian,4.6,1,11707 washington pl,90066,,"34.00458645909199, -118.42164381534478"
tacomasa,mexican,4.6,1,4740 e 7th st #130,90804,,"33.7752617206727, -118.13754394047426"
tacos cinco y diez,mexican,4.8,1,2424 hauser blvd,90019,,"34.034680720164296, -118.36161995767239"
big chicken,chicken,4.5,2,252 s brand blvd,91205,,"34.14314189299909, -118.25473540000002"
tang huo kung fu hot pot,hot pot,4,2,3450 w 6th st ste 108,90020,,"34.063388191466345, -118.29724001534478"
broad street oyster company,seafood,4.4,2,23359 e pacific coast hwy #3874a,90265,lobster roll,"34.0357479081995, -118.68387408465523"
strings of life cafe,cafe,4.4,2,608 n w knoll dr,90069,,"34.08231941878237, -118.3778851288362"
uncle paulies downtown,sandwich,4.5,2,820 s spring st,90014,,"34.042747369067584, -118.25397537301714"
cod seafood house and raw bar,seafood,4.4,2,8408 w 3rd st,90048,,"34.07311659133155, -118.37363927116378"
casablanca moroccan kitchens,moroccan,4.8,3,6919 melrose ave,90038,,"34.083748459693716, -118.3423392134914"
sam woo barbeque,chinese,4.2,1,514 valley blvd,91803,,"34.078236812274014, -118.12856734232761"
big boy,hamburger,4.5,1,4211 w riverside dr,91505,,"34.152697225671616, -118.34598548280186"
teriyaki house grill,japanese,4.6,2,16900 lakewood blvd unit 203,90706,,"33.88105970870722, -118.14177923254289"
grillers mediterranean kitchen,mediterranean,4.7,2,425 n brand blvd,91203,,"34.15275643251052, -118.2553176134914"
district,american,4.4,2,700 w 7th st,90017,,"34.048259963019625, -118.25844907301719"
the taco station llc,mexican,4.7,1,16471 mcfadden ave,92780,,"33.734412119520336, -117.83986801534473"
johnies pastrami,deli,4.4,2,4017 sepulveda blvd,90230,,"34.00834816549111, -118.41368129814663"
sadaf restaurant,middle eastern,4.3,2,16240 ventura blvd,91436,,"34.15673546808656, -118.48701634867139"
el coyote,mexican,4.4,2,7312 beverly blvd,90036,,"34.076090833311255, -118.34934954868763"
bhanu indian cuisine and market,indian,4.3,2,7246 rosemead blvd,91775,,"34.12915407842014, -118.0725089296397"
the buffalo spot crenshaw,chicken,3.9,1,3286 w slauson ave,90043,buffalo wings,"33.98864402168416, -118.3298973873386"
el asadero prime taqueria,mexican,4.6,1,3837 martin luther king jr blvd #106,90262,,"33.9283511562552, -118.19735733337549"
blvd mrkt,food court,4.7,2,520 whittier blvd,90640,,"34.009876691968515, -118.10579127384051"
annies soul delicious,soul food,4.4,2,615 n western ave,90004,,"34.082390217507296, -118.30929556033217"
antojito la cosa neustra,mexican,4.5,1,2620 vermont ave,90007,,"34.03105566704172, -118.29141430267167"
hue oi vietnamese cuisine,vietnamese,4.1,1,16537 brookhurst st,92708,bun bo hue,"33.72298579053705, -117.95575864691011"
carribean haven restaurants,caribbean,4.6,2,1780 s victoria ave e,93003,,"34.25797501012952, -119.20983004907293"
seoul sausage,korean,4.6,3,1263 w 2nd st,90026,,"34.060439800799166, -118.257838737436"
mariscos 4 vientos,seafood,4.4,1,1412 s lorena st,90023,shrimp tacos dorados,"34.018444761016, -118.20684473558187"
my ny pizza sports pizzeria,pizza,4.3,2,15034 foothill blvd,92335,,"34.10709541756842, -117.47754827976337"
craft by smoke and fire,bbq,4.5,2,195 w center street promenade,92805,,"33.83437911882811, -117.91541649952966"
larrys chili dog,burgers,4.7,1,3122 w burbank blvd,91505,"hot dogs, burgers, sandwiches","34.176349922190354, -118.34491202023662"
starks hot chicken,chicken,4.4,2,207 s vermont ave,90004,korean style chicken,"34.07043447022011, -118.2920760760551"
little kingston jamaican restaurant,jamaican,4.3,2,4716 w slauson ave,90056,,"33.98823971697169, -118.35914906256399"
cha cha chicken,carribean,4.4,2,1906 ocean ave,90405,,"34.007346858535584, -118.49042133558184"
the jerk spot jamaican restaurant,jamaican,4.4,1,9006 venice blvd,90232,,"34.027681884733305, -118.39086720674553"
blinkies donuts,donut,4.7,1,4884 topanga canyon blvd,91364,,"34.156915184904015, -118.60551872394493"
zen mei bistro,chinese,4.5,1,800 yale st,90012,"beef with black pepper sauce, string bean with beef, shredded pork and tofu","34.06338791958266, -118.24062546441817"
cecis gastronomia,italian,4.9,2,2813 w sunset blvd,90026,,"34.08221850598944, -118.27170813558185"
tacos los cuates wilmington,mexican,4.6,1,1400 n fries ave,90744,tacos,"33.79131245958723, -118.26565250674554"
sol agave la live,mexican,4.6,3,800 w olympic blvd,90015,,"34.045175397684645, -118.26491076256399"
chiguacle sabor ancestral de mexico,mexican,4.1,2,103 paseo de la plaza,90012,,"34.057348249394614, -118.23846254907292"
carnes asadas pancho lopez,mexican,4.5,1,3326 pasadena ave,90031,,"34.08396871630746, -118.21336459140032"
anayas restaurant,mexican,4.4,2,630 e colorado blvd,91101,,"34.14588482761406, -118.13736970674552"
desano pizza bakery,pizza,4.6,2,4959 santa monica blvd,90029,pizza carnival (star shaped pizza with ricotta cheese in crust),"34.09125510101362, -118.297840937436"
loupiotte kitchen,french,4.6,2,1726 n vermont blvd,90027,,"34.10269091245019, -118.291552437436"
little sister dtla,vietnamese,4.3,2,523 w 7th st,90017,,"34.04734157247754, -118.25616269325445"
red rock torrance,japanese,4.6,2,2141 w 182nd st,90504,"american sliced beef don, japanized western food","33.86649659719776, -118.31736963558184"
sisig restaurants,filipino,4.4,2,1714 w temple st,90026,sisig,"34.068972784776065, -118.26386475092704"
hamburguesas uruapan,hamburger,4.7,2,1527 e la palma ave,92805,,"33.90399996516012, -118.19199147790926"
the doughroom,italian,4.5,2,3409 overland ave,90034,,"34.025696862713346, -118.41269507790922"
the luggage room pizzeria and la grande orange,american,4.5,2,260 s raymond ave,91105,,"34.14156311556483, -118.14854307790924"
tomato pie pizza joint,pizza,4.5,1,2457 hyperion ave,91030,,"34.104216157501675, -118.27358733558182"
hanks bagels,bagel,4.6,2,4315 w riverside dr,91505,,"34.15254544330757, -118.34709232209077"
tacos el venado,mexican,4.5,1,11700 victory blvd,91606,tacos,"34.18653975104859, -118.38802910489143"
the oinkster,american,4.4,1,2005 colorado blvd,90041,"sandwiches (pastrami, pulled pork)","34.13973673908858, -118.21052766441815"
cocary shabu shabu bbq,chinese,4.4,2,209 s garfield ave,91754,taiwanese,"34.061201199441676, -118.12289517605507"
the apple pan,american,4.5,1,10801 w pico blvd,90064,,"34.04096520025176, -118.42784483558185"
milas pizzeria,pizza,4.9,2,509 e broadway unit a,91205,,"34.14680694277043, -118.24950101838245"
eastside italian deli los feliz,sandwich,4.8,2,1761 n vermont ave,90027,,"34.10340855928228, -118.29196642209077"
portillos buena park,burgers,4.6,1,8390 la palma ave,90620,hot dogs,"33.84658340233735, -117.98723467976339"
girl and the goat,american,4.6,3,555-3 mateo st,90013,,"34.04041249806351, -118.23312102023664"
206 bce noodles,vietnamese,4,1,440 s anaheim blvd,92805,pho,"33.83165540748522, -117.91195416441816"
my lai,vietnamese,4.6,1,1222 venice blvd,90066,,"34.00447308882094, -118.43181783558182"
sharkys woodfire mexican grill,mexican,4.4,2,1716 n chauenga blvd,90028,,"34.102313461696724, -118.32914267605507"
go go bird,chicken,4.5,1,9355 culver blvd,90232,,"34.02508348396319, -118.39403553372769"
motto tea cafe,boba,4.2,1,250 w valley blvd,91776,crepe cake,"34.07952492563336, -118.10353043372768"
united bread and pastry,bakery,4.6,1,1515 griffith blvd,90026,,"34.09056538093978, -118.27693622023665"
fishing with dynamite,seafood,4.7,3,1148 manhattan ave,90266,,"33.88553243171129, -118.41096477976339"
holbox,seafood,4.8,2,3655 s grand ave c9,90007,yucatan inspired seafood,"34.01755164116032, -118.27832453372771"
rappahannock oyster bar,seafood,4.4,2,777 south alameda street row #154,90021,,"34.03484919226431, -118.241285762564"
santa monica seafood market and cafe,seafood,4.6,2,1000 wilshire blvd,90401,,"34.023884950186826, -118.49241887976339"
newport seafood restaurant,chinese,4.4,2,518 w las tunas dr,91776,,"34.10232752607861, -118.10677336256398"
chuys tacos dorados,mexican,4.3,1,1335 willow st,90013,crunchy tacos,"34.039614047445426, -118.23150787976336"
full moon house,chinese,4.3,2,960 n hill st,90012,,"34.06619816590643, -118.23762530674554"
abc seafood restaurant,seafood,4.1,1,205 ord st,90012,,"34.060350254164746, -118.23846929325448"
tacos tumbras a tomas,mexican,4.5,1,317 s broadway #14,90013,tacos,"34.05081408586137, -118.24885952209074"
love and salt,italian,4.5,3,317 manhattan beach blvd,90266,,"33.885539259217644, -118.40926842023659"
belles bagels,bagel,4.6,1,5022 york blvd,90042,,"34.12125745610027, -118.20612552023658"
marugame monzo,japanese,4.6,2,329 1st st,90012,,"34.050129276672045, -118.23995680489139"
hippo,american,4.6,3,5916 1/2 n figueroa st,90042,,"34.11081327694135, -118.19025040489139"
muffin can stop us,breakfast,4.4,1,1017 n brand blvd,91202,,"34.16108215430379, -118.25548789325447"
masons dumpling shop,chinese,4.3,1,5803 n figueroa,90042,chinese hanmade dumplings,"34.110761926081516, -118.19189320674553"
s and w country diner,american,4.4,1,9748 washington blvd,90232,"breakfast all day, brunch and diner","34.022232284188405, -118.39647493558185"
teddys cafe,diner,4.6,1,12043 w pico blvd,90064,,"34.029907704175095, -118.4502984220908"
olympic cafe,diner,3.9,1,3728 olympic blvd,90019,brekfast and diner,"34.05327782592677, -118.31942800674554"
millies cafe,breakfast,4.5,2,1399 e washington blvd,91104,"breakfast, brunch, sandwiches","34.1694368061989, -118.12170144907292"
moffetts family restaurant and chicken pie shoppe,american,4.4,1,1409 s baldwin ave,91007,pot pies,"34.12322327899389, -118.05614609325448"
clarks street diner,american,4.5,2,6145 franklin ave,90068,,"34.105610837980905, -118.3237938914003"
russells,american,4.6,2,30 n fair oaks ave,91103,"breakfast, brunch","34.146699005308896, -118.15029694907292"
lancers family restaurant,american,4.3,1,697 n victory blvd,91502,,"34.1805089107224, -118.32005899140032"
nats early bite,breakfast,4.6,1,14115 burbank blvd,91401,,"34.17248350684997, -118.440492162564"
jyan isaac bread,bakery,4.8,2,1620 ocean park blvd,90405,,"34.011822841144934, -118.46785636441814"
ramen nagi,ramen,4.6,2,10250 santa monica blvd ste #2850,90067,,"34.05946813290106, -118.41965253558183"
taqueria el zarape,mexican,4.4,1,5203 fountain ave,90029,,"34.09546137680248, -118.30254323558185"
amalias restaurant,guatemalan,4,2,4210 beverly blvd,90004,,"34.076083946202445, -118.30091132209076"
wild crab,seafood,4.4,2,9730 garden grove blvd,92844,,"33.77387526451385, -117.96273720674553"
running goose,latin american,4.5,2,1620 n cahuenga blvd,90028,,"34.100740433297155, -118.32936535092709"
kochi,japanese,4.6,2,408 n la cienega blvd,90048,,"34.0786037867335, -118.37646192394497"
mun korean steakhouse,korean,4.2,3,3519 w 6th st,90020,korean steakhouse,"34.06401979776413, -118.29856415092706"
songhak korean bbq,kbbq,4.4,2,356 western ave #201,90020,,"34.06758373823255, -118.30891379325446"
88 hotdog and juicy korean streat food,korean,4.4,1,3825 w 6th st,90020,,"34.06402400983178, -118.30617733558184"
bread lounge,bakery,4.7,2,700 s santa fe ave,90021,breads and sandwiches,"34.03456575698871, -118.22989219510862"
rodeo mexican grill,mexican,4.3,2,1721 w olympic blvd,90015,,"34.05042147602866, -118.27593256441816"
jeffs table,sandwich,4.4,2,5900 n figueroa st,90042,,"34.110598575556445, -118.19077622209078"
escala,colombian,4.3,2,3451 w 6th st,90020,,"34.063909434256324, -118.29679220674552"
heres looking at you,american,4.6,3,3901 w 6th st,90020,,"34.063858758502505, -118.30803272023664"
wa! ssada restaurant,seafood,4,2,377 n western ave,90004,,"34.078162755625904, -118.30937122209077"
iron teapot dim sum and bar,chinese,3.8,2,10306 venice blvd,90034,,"34.02083967136477, -118.4029697797634"
chunju han il kwan,korean,4.3,2,3450 w 6th st,90020,,"34.063394827346244, -118.29711403558184"
taste of tehran restaurant,middle eastern,4.3,2,1915 westwood blvd,90025,,"34.047889302385734, -118.43530087976339"
sichuan impression,chinese,4.3,2,235 w main st suite b,91801,sichuan,"34.09452243303039, -118.13003745092709"
el ruso #1,mexican,4.3,1,1647 w sunset blvd,90026,tacos,"34.07737315711712, -118.25795492023656"
pizzana west hollywood,pizza,4.5,2,460 n robertson blvd,90048,,"34.07988062488694, -118.38449706256398"
joy,chinese,4.6,2,5100 york blvd,90042,modern taiwanese,"34.12100863853234, -118.2046696202366"
haidilao hot pot century,hot pot,4.5,1,10250 santa monica blvd ste 2610,90067,,"34.05990539213585, -118.41868869140033"
wexlers deli,deli,4.2,2,317 s broadway,90013,jewish deli,"34.05090127497223, -118.24883859325445"
el cochinito,cuban,4.4,2,3508 sunset blvd,90026,,"34.088954820541154, -118.27687899140031"
abbots pizza company,pizza,4.4,1,1407 abbot kinney blvd,90291,,"33.99093319364369, -118.46571223558182"
bruxie,chicken,4.4,2,1412 3rd street promenade,90401,,"34.01531996723551, -118.49574417790924"
villa moreliana,mexican,4.4,1,317 s broadway st,90013,,"34.050678360952475, -118.24866164907289"
lowkey burrito,mexican,4.6,1,5940 sunset blvd,90028,burritos,"34.098069986706854, -118.31917684721877"
c and o restaurants,italian,4.5,2,3016 washington blvd,90292,,"33.989391223088035, -118.45063522023663"
the bombay frankie company,indian,4.3,1,6000 sepulveda blvd suite 1601,90230,,"33.98672024007965, -118.39280766256398"
elios wood fire pizza,pizza,4.7,2,2517 sunset blvd,90026,,"34.08036391007613, -118.26981879325447"
pie n burger,hamburger,4.3,2,913 e california blvd,91106,,"34.136245968884744, -118.13155323743598"
slab,bbq,4.3,2,8136 w 3rd st,90048,,"34.072231953880696, -118.36722769325445"
titos tacos,mexican,4.2,1,11222 washington pl,90230,,"34.008428880949566, -118.41451550674554"
tsujita la artisan noodles,ramen,4.5,1,2057 sawtelle blvd,90025,,"34.03978337083166, -118.442746437436"
traktir restaurant,ukranian,4.5,2,8151 santa monica blvd,90046,,"34.09118135637584, -118.36660009325443"
tibet nepal house restaurant,nepalese,4.4,2,36 e holly st #3905,91124,,"34.14759052010371, -118.14966940674553"
rag mongolian cuisine,mongolian,4.7,2,3012 wilshire blvd,90010,,"34.06183755088912, -118.28714940859969"
gjusta,bakery,4.4,2,320 sunset ave,90291,,"33.995484606703556, -118.47458329325445"
papi tacos and churros,mexican,4.5,1,313 wilshire blvd,90401,,"34.018997459915894, -118.4990262048914"
mr fries man,chicken,4.1,2,3844 s figueroa st,90037,gourmet loaded french fries,"34.014565875636585, -118.28251499325448"
blazin birds,chicken,4.6,1,6246 wilshire blvd,90048,,"34.06301508008953, -118.36512115092707"
mamas international tamales,salvadoran,4.4,1,2124 7th st,90057,tamales,"34.05688891646032, -118.27780462209076"
venezeulan chamo cuisine,venezuelan,4.5,2,950 e colorado blvd,91106,,"34.14595872404855, -118.13042137790923"
brick and flour,mexican,4.2,1,12900 vicotry blvd,91606,,"34.18659722613516, -118.41401612209077"
mitla cafe,mexican,4.5,2,602 n mt vernon ave,92411,,"34.11056054351211, -117.31397490674554"
los originales tacos arabes de puebla,mexican,4.5,1,3600 e olympic blvd,90023,,"34.01815426159423, -118.20056000674555"
jitlada restaurant,thai,4.4,2,5233 sunset blvd,90027,,"34.09876755378701, -118.3040297202366"
ba le sandwich shop,sandwich,4.6,1,1426 s atlantic blvd,91803,banh mi,"34.07735287063886, -118.13376107976339"
jang choong dong restaurant,korean,4.1,2,2716 olympic blvd,90006,,"34.05230984786816, -118.2922806932545"
jeon ju korean bibimbap restaurant,korean,4.7,2,2716 w olympic blvd ste #101,90006,,"34.052651682007884, -118.29224892209076"
mirak restaurant,korean,4.3,2,1134 s western ave #a2,90006,,"34.04986445606273, -118.30852970674555"
won jo kokerang agurang,korean,4.1,3,533 western ave,90020,,"34.0645600570314, -118.30934899325446"
h and h brazilian steakhouse,brazilian,4.6,2,518 w 7th st,90014,brazilian steakhouse,"34.04701870411991, -118.25616873558185"
jeffs gourmet sausage factory,hamburger,4.7,2,8930 w pico blvd,90035,,"34.05531675408127, -118.3868215509271"
same same thai,thai,4.4,2,2835 sunset blvd,90026,,"34.08272337510704, -118.27224626441816"
